animal,dam,sire
1,NA,NA
2,NA,NA
3,NA,NA
4,NA,NA
5,NA,NA
6,NA,NA
7,NA,NA
8,NA,NA
9,NA,NA
10,NA,NA
11,NA,NA
12,NA,NA
13,NA,NA
14,NA,NA
15,NA,NA
16,NA,NA
17,NA,NA
18,NA,NA
19,NA,NA
20,NA,NA
21,NA,NA
22,NA,NA
23,NA,NA
24,NA,NA
25,NA,NA
26,NA,NA
27,NA,NA
28,NA,NA
29,NA,NA
30,NA,NA
31,NA,NA
32,NA,NA
33,NA,NA
34,NA,NA
35,NA,NA
36,NA,NA
37,NA,NA
38,NA,NA
39,NA,NA
40,NA,NA
41,NA,NA
42,NA,NA
43,NA,NA
44,NA,NA
45,NA,NA
46,NA,NA
47,NA,NA
48,NA,NA
49,NA,NA
50,NA,NA
51,NA,NA
52,NA,NA
53,NA,NA
54,NA,NA
55,NA,NA
56,NA,NA
57,NA,NA
58,NA,NA
59,NA,NA
60,NA,NA
61,NA,NA
62,NA,NA
63,NA,NA
64,NA,NA
65,NA,NA
66,NA,NA
67,NA,NA
68,NA,NA
69,NA,NA
70,NA,NA
71,NA,NA
72,NA,NA
73,NA,NA
74,NA,NA
75,NA,NA
76,NA,NA
77,NA,NA
78,NA,NA
79,NA,NA
80,NA,NA
81,NA,NA
82,NA,NA
83,NA,NA
84,NA,NA
85,NA,NA
86,NA,NA
87,NA,NA
88,NA,NA
89,NA,NA
90,NA,NA
91,NA,NA
92,NA,NA
93,NA,NA
94,NA,NA
95,NA,NA
96,NA,NA
97,NA,NA
98,NA,NA
99,NA,NA
100,NA,NA
101,NA,NA
102,NA,NA
103,NA,NA
104,NA,NA
105,NA,NA
106,NA,NA
107,NA,NA
108,NA,NA
109,NA,NA
110,NA,NA
111,NA,NA
112,NA,NA
113,NA,NA
114,NA,NA
115,NA,NA
116,NA,NA
117,NA,NA
118,NA,NA
119,NA,NA
120,NA,NA
121,NA,NA
122,NA,NA
123,NA,NA
124,NA,NA
125,NA,NA
126,NA,NA
127,NA,NA
128,NA,NA
129,NA,NA
130,NA,NA
131,NA,NA
132,NA,NA
133,NA,NA
134,NA,NA
135,NA,NA
136,NA,NA
137,NA,NA
138,NA,NA
139,NA,NA
140,NA,NA
141,NA,NA
142,NA,NA
143,NA,NA
144,NA,NA
145,NA,NA
146,NA,NA
147,NA,NA
148,1,NA
149,1,NA
150,2,NA
151,2,NA
152,3,NA
153,4,NA
154,5,NA
155,6,NA
156,6,NA
157,6,NA
158,7,NA
159,7,NA
160,7,NA
161,8,NA
162,8,NA
163,9,NA
164,10,NA
165,11,NA
166,12,NA
167,12,NA
168,12,NA
169,12,NA
170,13,NA
171,14,NA
172,15,NA
173,16,NA
174,16,NA
175,16,NA
176,16,NA
177,16,NA
178,17,NA
179,18,NA
180,18,NA
181,19,NA
182,19,NA
183,20,NA
184,21,NA
185,21,NA
186,22,NA
187,23,NA
188,23,NA
189,24,NA
190,24,NA
191,25,NA
192,26,NA
193,27,NA
194,27,NA
195,28,NA
196,29,NA
197,30,NA
198,30,NA
199,31,NA
200,31,NA
201,32,NA
202,33,NA
203,34,NA
204,34,NA
205,34,NA
206,34,NA
207,34,NA
208,35,NA
209,36,NA
210,36,NA
211,37,NA
212,38,NA
213,38,NA
214,39,NA
215,39,NA
216,40,NA
217,40,NA
218,40,NA
219,40,NA
220,40,NA
221,40,NA
222,41,NA
223,41,NA
224,42,NA
225,43,NA
226,43,NA
227,43,NA
228,44,NA
229,44,NA
230,45,NA
231,45,NA
232,46,NA
233,46,NA
234,46,NA
235,46,NA
236,47,NA
237,47,NA
238,48,NA
239,48,NA
240,49,NA
241,49,NA
242,50,NA
243,51,NA
244,52,NA
245,52,NA
246,53,NA
247,53,NA
248,54,NA
249,54,NA
250,54,NA
251,55,NA
252,56,NA
253,56,NA
254,56,NA
255,57,NA
256,57,NA
257,58,NA
258,58,NA
259,59,NA
260,59,NA
261,59,NA
262,60,NA
263,60,NA
264,60,NA
265,60,NA
266,60,NA
267,60,NA
268,61,NA
269,61,NA
270,61,NA
271,62,NA
272,62,NA
273,62,NA
274,63,NA
275,63,NA
276,63,NA
277,63,NA
278,64,NA
279,64,NA
280,64,NA
281,64,NA
282,65,NA
283,65,NA
284,66,NA
285,66,NA
286,66,NA
287,66,NA
288,66,NA
289,67,NA
290,67,NA
291,67,NA
292,67,NA
293,67,NA
294,67,NA
295,67,NA
296,68,NA
297,68,NA
298,69,NA
299,69,NA
300,70,NA
301,70,NA
302,70,NA
303,70,NA
304,71,NA
305,71,NA
306,71,NA
307,72,NA
308,72,NA
309,73,NA
310,73,NA
311,74,NA
312,74,NA
313,74,NA
314,75,NA
315,75,NA
316,76,NA
317,77,NA
318,77,NA
319,78,NA
320,78,NA
321,78,NA
322,78,NA
323,79,NA
324,79,NA
325,79,NA
326,80,NA
327,80,NA
328,80,NA
329,81,NA
330,81,NA
331,82,NA
332,83,NA
333,83,NA
334,83,NA
335,83,NA
336,84,NA
337,85,NA
338,85,NA
339,85,NA
340,86,NA
341,86,NA
342,86,NA
343,87,NA
344,88,NA
345,88,NA
346,88,NA
347,89,NA
348,90,NA
349,90,NA
350,90,NA
351,91,NA
352,92,NA
353,93,NA
354,94,NA
355,94,NA
356,95,NA
357,96,NA
358,96,NA
359,97,NA
360,97,NA
361,98,NA
362,98,NA
363,99,NA
364,100,NA
365,110,104
366,110,132
367,111,138
368,111,108
369,111,102
370,111,134
371,112,135
372,112,104
373,112,117
374,113,104
375,113,127
376,114,108
377,114,104
378,115,119
379,115,119
380,116,NA
381,116,NA
382,120,135
383,120,139
384,128,140
385,128,136
386,129,131
387,144,NA
388,145,135
389,146,142
390,149,NA
391,149,NA
392,151,NA
393,160,NA
394,160,NA
395,160,NA
396,160,NA
397,160,NA
398,161,NA
399,161,NA
400,161,NA
401,164,NA
402,164,NA
403,164,NA
404,164,NA
405,165,NA
406,167,NA
407,167,NA
408,168,NA
409,168,NA
410,168,NA
411,168,NA
412,175,NA
413,175,NA
414,175,NA
415,175,NA
416,175,NA
417,191,NA
418,191,NA
419,191,NA
420,192,NA
421,192,NA
422,192,NA
423,201,NA
424,201,NA
425,201,NA
426,201,NA
427,201,NA
428,201,NA
429,206,NA
430,207,NA
431,207,NA
432,217,NA
433,217,NA
434,217,NA
435,218,NA
436,218,NA
437,218,NA
438,218,NA
439,219,NA
440,219,NA
441,220,NA
442,220,NA
443,222,NA
444,222,NA
445,222,NA
446,222,NA
447,222,NA
448,226,NA
449,226,NA
450,226,NA
451,228,NA
452,228,NA
453,228,NA
454,229,NA
455,229,NA
456,229,NA
457,229,NA
458,229,NA
459,230,NA
460,230,NA
461,232,NA
462,233,NA
463,233,NA
464,233,NA
465,233,NA
466,233,NA
467,233,NA
468,236,NA
469,236,NA
470,236,NA
471,237,NA
472,239,NA
473,239,NA
474,239,NA
475,239,NA
476,239,NA
477,239,NA
478,240,NA
479,240,NA
480,241,NA
481,242,NA
482,242,NA
483,247,NA
484,248,NA
485,251,NA
486,251,NA
487,252,NA
488,252,NA
489,252,NA
490,254,NA
491,254,NA
492,254,NA
493,254,NA
494,255,NA
495,255,NA
496,256,NA
497,259,NA
498,259,NA
499,264,NA
500,264,NA
501,265,NA
502,265,NA
503,265,NA
504,265,NA
505,265,NA
506,266,NA
507,266,NA
508,268,NA
509,271,NA
510,273,NA
511,273,NA
512,273,NA
513,273,NA
514,273,NA
515,275,NA
516,275,NA
517,278,NA
518,278,NA
519,278,NA
520,278,NA
521,279,NA
522,279,NA
523,280,NA
524,280,NA
525,280,NA
526,280,NA
527,280,NA
528,280,NA
529,280,NA
530,285,NA
531,290,NA
532,290,NA
533,292,NA
534,296,NA
535,297,NA
536,297,NA
537,297,NA
538,297,NA
539,297,NA
540,297,NA
541,298,NA
542,298,NA
543,298,NA
544,298,NA
545,298,NA
546,299,NA
547,299,NA
548,299,NA
549,299,NA
550,299,NA
551,299,NA
552,299,NA
553,300,NA
554,300,NA
555,300,NA
556,304,NA
557,304,NA
558,304,NA
559,304,NA
560,304,NA
561,307,NA
562,307,NA
563,307,NA
564,309,NA
565,309,NA
566,309,NA
567,309,NA
568,309,NA
569,314,NA
570,314,NA
571,316,NA
572,316,NA
573,316,NA
574,316,NA
575,319,NA
576,319,NA
577,321,NA
578,321,NA
579,321,NA
580,321,NA
581,322,NA
582,323,NA
583,323,NA
584,323,NA
585,323,NA
586,323,NA
587,326,NA
588,326,NA
589,326,NA
590,326,NA
591,330,NA
592,330,NA
593,330,NA
594,330,NA
595,344,NA
596,344,NA
597,345,NA
598,345,NA
599,345,NA
600,347,NA
601,353,NA
602,353,NA
603,353,NA
604,353,NA
605,354,NA
606,357,NA
607,357,NA
608,357,NA
609,357,NA
610,357,NA
611,357,NA
612,359,NA
613,359,NA
614,365,138
615,365,137
616,370,127
617,370,137
618,113,374
619,390,NA
620,390,NA
621,390,NA
622,390,NA
623,391,NA
624,391,NA
625,392,NA
626,393,NA
627,395,NA
628,396,NA
629,396,NA
630,398,NA
631,398,NA
632,398,NA
633,398,NA
634,398,NA
635,399,NA
636,399,NA
637,401,NA
638,402,NA
639,404,NA
640,404,NA
641,404,NA
642,407,NA
643,407,NA
644,410,NA
645,412,NA
646,414,NA
647,414,NA
648,414,NA
649,414,NA
650,414,NA
651,416,NA
652,416,NA
653,416,NA
654,416,NA
655,416,NA
656,416,NA
657,418,NA
658,421,NA
659,421,NA
660,423,NA
661,423,NA
662,423,NA
663,425,NA
664,425,NA
665,425,NA
666,433,NA
667,435,NA
668,436,NA
669,436,NA
670,437,NA
671,437,NA
672,438,NA
673,438,NA
674,438,NA
675,438,NA
676,438,NA
677,438,NA
678,439,NA
679,439,NA
680,440,NA
681,443,NA
682,443,NA
683,443,NA
684,443,NA
685,444,NA
686,445,NA
687,445,NA
688,446,NA
689,446,NA
690,446,NA
691,446,NA
692,446,NA
693,448,NA
694,448,NA
695,448,NA
696,448,NA
697,450,NA
698,451,NA
699,451,NA
700,451,NA
701,461,NA
702,465,NA
703,465,NA
704,465,NA
705,465,NA
706,466,NA
707,466,NA
708,468,NA
709,468,NA
710,468,NA
711,468,NA
712,469,NA
713,469,NA
714,469,NA
715,469,NA
716,469,NA
717,475,NA
718,475,NA
719,476,NA
720,478,NA
721,478,NA
722,481,NA
723,481,NA
724,481,NA
725,481,NA
726,481,NA
727,481,NA
728,489,NA
729,489,NA
730,489,NA
731,489,NA
732,494,NA
733,494,NA
734,494,NA
735,495,NA
736,495,NA
737,495,NA
738,495,NA
739,498,NA
740,498,NA
741,500,NA
742,500,NA
743,500,NA
744,500,NA
745,500,NA
746,500,NA
747,502,NA
748,502,NA
749,502,NA
750,502,NA
751,502,NA
752,502,NA
753,502,NA
754,504,NA
755,505,NA
756,505,NA
757,505,147
758,506,NA
759,266,NA
760,509,NA
761,509,NA
762,509,NA
763,509,NA
764,509,NA
765,511,NA
766,521,NA
767,522,NA
768,522,NA
769,522,NA
770,526,NA
771,526,NA
772,526,NA
773,526,NA
774,526,NA
775,526,NA
776,528,NA
777,528,NA
778,528,NA
779,528,NA
780,528,122
781,280,NA
782,297,NA
783,535,NA
784,536,NA
785,536,NA
786,540,NA
787,540,NA
788,543,NA
789,543,NA
790,544,NA
791,547,NA
792,547,NA
793,549,NA
794,549,NA
795,549,NA
796,554,NA
797,558,NA
798,558,NA
799,558,NA
800,559,NA
801,559,NA
802,563,NA
803,574,NA
804,574,NA
805,577,NA
806,577,NA
807,577,NA
808,577,NA
809,578,NA
810,578,NA
811,578,NA
812,578,NA
813,578,NA
814,583,NA
815,585,NA
816,585,NA
817,589,NA
818,589,NA
819,589,NA
820,592,NA
821,592,NA
822,592,NA
823,592,NA
824,592,NA
825,592,NA
826,592,NA
827,592,NA
828,600,NA
829,90,NA
830,602,NA
831,602,NA
832,602,NA
833,602,NA
834,609,NA
835,609,NA
836,611,NA
837,611,NA
838,621,NA
839,621,NA
840,621,NA
841,621,NA
842,621,NA
843,624,NA
844,624,NA
845,624,NA
846,632,NA
847,635,NA
848,639,NA
849,639,NA
850,639,NA
851,642,NA
852,642,NA
853,644,NA
854,644,NA
855,644,NA
856,644,NA
857,644,NA
858,644,NA
859,646,123
860,646,NA
861,646,NA
862,648,NA
863,654,NA
864,654,NA
865,654,NA
866,654,NA
867,654,NA
868,655,NA
869,655,NA
870,670,NA
871,670,NA
872,670,NA
873,671,NA
874,674,NA
875,674,NA
876,674,NA
877,676,NA
878,676,NA
879,676,769
880,676,NA
881,220,NA
882,681,NA
883,681,NA
884,681,NA
885,448,NA
886,694,NA
887,694,NA
888,694,NA
889,694,NA
890,695,NA
891,695,NA
892,695,NA
893,695,NA
894,696,NA
895,696,NA
896,696,NA
897,696,NA
898,448,NA
899,450,NA
900,233,NA
901,465,NA
902,468,769
903,710,123
904,712,NA
905,712,NA
906,712,NA
907,714,NA
908,714,NA
909,714,NA
910,714,NA
911,722,NA
912,722,NA
913,725,NA
914,725,NA
915,725,NA
916,725,NA
917,729,NA
918,489,NA
919,737,NA
920,740,556
921,740,NA
922,740,NA
923,740,NA
924,743,NA
925,743,NA
926,743,556
927,743,NA
928,744,NA
929,750,NA
930,750,NA
931,754,NA
932,754,NA
933,754,NA
934,754,NA
935,754,NA
936,759,NA
937,759,NA
938,759,NA
939,759,NA
940,760,NA
941,760,NA
942,760,NA
943,762,NA
944,762,NA
945,762,NA
946,762,NA
947,522,NA
948,768,NA
949,768,556
950,771,NA
951,771,NA
952,771,711
953,772,NA
954,772,NA
955,772,NA
956,773,NA
957,773,NA
958,775,107
959,778,107
960,781,101
961,781,101
962,781,NA
963,781,NA
964,781,NA
965,782,NA
966,784,556
967,784,NA
968,784,NA
969,784,NA
970,784,NA
971,787,NA
972,787,147
973,787,106
974,788,NA
975,788,NA
976,788,NA
977,788,556
978,788,NA
979,789,104
980,789,NA
981,789,NA
982,789,NA
983,798,NA
984,558,NA
985,559,NA
986,321,NA
987,806,NA
988,806,NA
989,806,NA
990,806,NA
991,806,NA
992,806,122
993,811,NA
994,811,NA
995,811,NA
996,578,NA
997,812,NA
998,812,NA
999,812,NA
1000,578,NA
1001,583,NA
1002,585,NA
1003,816,NA
1004,816,556
1005,821,NA
1006,821,NA
1007,821,NA
1008,821,NA
1009,822,NA
1010,825,104
1011,826,NA
1012,829,101
1013,829,NA
1014,90,NA
1015,602,NA
1016,833,NA
1017,833,NA
1018,836,NA
1019,836,NA
1020,836,NA
1021,836,556
1022,611,NA
1023,116,NA
1024,838,NA
1025,841,937
1026,841,950
1027,841,NA
1028,850,769
1029,850,NA
1030,852,NA
1031,852,877
1032,853,855
1033,853,937
1034,853,NA
1035,861,950
1036,646,944
1037,865,102
1038,865,122
1039,865,107
1040,865,123
1041,865,105
1042,866,855
1043,866,954
1044,654,995
1045,654,855
1046,868,937
1047,868,854
1048,868,877
1049,868,123
1050,869,877
1051,869,937
1052,869,937
1053,869,NA
1054,655,944
1055,874,NA
1056,874,NA
1057,874,NA
1058,874,105
1059,874,102
1060,674,950
1061,674,855
1062,878,970
1063,878,950
1064,878,NA
1065,878,NA
1066,879,937
1067,886,950
1068,695,NA
1069,895,101
1070,895,NA
1071,898,NA
1072,898,NA
1073,704,944
1074,704,944
1075,468,NA
1076,710,877
1077,908,NA
1078,909,NA
1079,909,NA
1080,909,877
1081,909,950
1082,909,NA
1083,911,NA
1084,921,NA
1085,921,NA
1086,740,NA
1087,922,NA
1088,922,NA
1089,923,937
1090,923,103
1091,923,101
1092,923,102
1093,926,102
1094,926,104
1095,743,877
1096,743,950
1097,743,937
1098,933,855
1099,934,855
1100,934,108
1101,754,937
1102,754,944
1103,754,970
1104,505,877
1105,506,954
1106,936,NA
1107,936,876
1108,936,101
1109,759,950
1110,940,NA
1111,943,NA
1112,943,950
1113,946,970
1114,762,845
1115,947,NA
1116,947,NA
1117,951,108
1118,951,108
1119,951,102
1120,955,937
1121,772,845
1122,772,877
1123,772,950
1124,957,970
1125,957,NA
1126,957,NA
1127,957,NA
1128,773,944
1129,773,944
1130,773,937
1131,773,937
1132,775,954
1133,528,877
1134,778,950
1135,528,950
1136,963,937
1137,963,877
1138,963,107
1139,781,950
1140,782,937
1141,535,855
1142,535,954
1143,967,NA
1144,967,NA
1145,967,NA
1146,967,950
1147,967,950
1148,968,NA
1149,968,NA
1150,969,108
1151,787,950
1152,540,855
1153,975,845
1154,976,944
1155,976,101
1156,976,102
1157,977,NA
1158,977,NA
1159,979,140
1160,979,105
1161,979,104
1162,979,102
1163,980,NA
1164,789,944
1165,983,NA
1166,983,NA
1167,983,937
1168,983,556
1169,983,101
1170,987,NA
1171,989,944
1172,989,944
1173,989,970
1174,990,944
1175,990,101
1176,806,950
1177,992,876
1178,992,102
1179,992,123
1180,992,102
1181,578,944
1182,993,NA
1183,993,NA
1184,811,NA
1185,811,970
1186,997,937
1187,998,855
1188,998,102
1189,578,NA
1190,585,NA
1191,1006,102
1192,821,944
1193,826,950
1194,345,937
1195,90,NA
1196,829,944
1197,829,937
1198,1017,NA
1199,1017,855
1200,1017,108
1201,1017,105
1202,1020,954
1203,1020,108
1204,1021,101
1205,836,937
1206,836,876
1207,1027,101
1208,1027,102
1209,850,1138
1210,852,1167
1211,1033,1117
1212,1034,108
1213,853,1102
1214,865,1167
1215,1044,NA
1216,1045,102
1217,1045,1117
1218,1050,101
1219,1050,1102
1220,1050,1138
1221,1055,121
1222,1055,130
1223,1056,105
1224,1056,102
1225,1056,NA
1226,1066,101
1227,1066,1102
1228,676,1125
1229,1068,NA
1230,1068,NA
1231,1068,950
1232,1068,855
1233,1068,NA
1234,1069,1059
1235,704,1167
1236,1075,950
1237,1075,NA
1238,1075,NA
1239,1075,NA
1240,1075,NA
1241,1075,944
1242,1075,950
1243,1075,950
1244,710,1167
1245,1096,1064
1246,1096,123
1247,1096,1138
1248,1096,102
1249,1097,123
1250,1097,102
1251,1097,119
1252,1100,102
1253,1101,NA
1254,1101,101
1255,1101,1117
1256,759,NA
1257,1109,1167
1258,1109,1064
1259,1109,102
1260,1109,102
1261,1114,101
1262,1114,105
1263,1119,124
1264,1119,138
1265,1119,127
1266,1121,1167
1267,1121,107
1268,1121,123
1269,1121,105
1270,1121,104
1271,1123,101
1272,1123,NA
1273,1126,139
1274,1126,NA
1275,1126,130
1276,957,1102
1277,775,1059
1278,775,1117
1279,1134,102
1280,778,1102
1281,1136,102
1282,1136,1117
1283,781,1167
1284,1149,NA
1285,1149,950
1286,1149,937
1287,1149,101
1288,1153,NA
1289,1157,NA
1290,1164,NA
1291,1164,102
1292,1164,102
1293,1166,944
1294,1166,NA
1295,1166,108
1296,1172,1102
1297,1172,102
1298,1172,1117
1299,1173,103
1300,989,1167
1301,1174,108
1302,1174,1138
1303,1174,NA
1304,990,1167
1305,1176,NA
1306,1176,102
1307,1176,1102
1308,1176,101
1309,1176,102
1310,1176,102
1311,1183,NA
1312,1183,101
1313,1183,102
1314,998,1064
1315,1188,119
1316,1188,132
1317,1188,139
1318,1190,NA
1319,1190,NA
1320,1190,937
1321,1192,876
1322,1192,101
1323,1192,102
1324,825,1082
1325,1196,1125
1326,1197,101
1327,1197,104
1328,1197,NA
1329,1199,NA
1330,1199,102
1331,1017,1102
1332,111,1059
1333,112,1117
1334,112,1059
1335,115,1117
1336,852,1230
1337,1033,1326
1338,1211,1326
1339,1211,1059
1340,1211,1059
1341,1211,138
1342,1211,NA
1343,1033,1326
1344,1033,1330
1345,1033,1260
1346,1034,1280
1347,1034,1326
1348,1034,1326
1349,646,1285
1350,1214,137
1351,1214,NA
1352,1214,105
1353,1214,1117
1354,1214,NA
1355,1214,1323
1356,1214,1330
1357,1214,NA
1358,1045,1323
1359,1046,1320
1360,868,1285
1361,1050,1320
1362,1055,1308
1363,1056,1280
1364,1056,1308
1365,1069,1326
1366,1235,1117
1367,1239,855
1368,1239,NA
1369,1239,1167
1370,1240,1285
1371,1240,108
1372,1240,1102
1373,1240,108
1374,1242,1064
1375,1242,102
1376,1242,1323
1377,1243,1285
1378,1243,108
1379,1244,101
1380,1246,136
1381,1246,119
1382,1246,1260
1383,1246,1326
1384,1248,119
1385,1248,121
1386,1248,1309
1387,1248,131
1388,1248,134
1389,1248,138
1390,1248,137
1391,933,1320
1392,1100,1330
1393,1100,1323
1394,1254,136
1395,1254,102
1396,1254,1309
1397,1254,1117
1398,1254,124
1399,505,1230
1400,1257,1102
1401,1257,101
1402,1257,102
1403,943,1230
1404,946,1230
1405,947,1230
1406,951,1280
1407,951,1309
1408,1119,1309
1409,1119,1330
1410,1263,135
1411,951,1280
1412,955,1320
1413,955,1308
1414,1266,127
1415,1266,1138
1416,1266,102
1417,1266,1278
1418,1126,1323
1419,775,1320
1420,778,1308
1421,1134,1326
1422,778,1285
1423,1282,1308
1424,1282,130
1425,1282,127
1426,1283,105
1427,1283,104
1428,1283,1041
1429,1283,121
1430,1283,1326
1431,1283,1308
1432,1283,1310
1433,1144,1230
1434,967,1230
1435,976,1320
1436,979,1309
1437,979,1326
1438,1164,1320
1439,1166,1285
1440,1295,119
1441,1168,1308
1442,1168,1308
1443,1297,NA
1444,1297,136
1445,1297,135
1446,1172,1326
1447,1174,1285
1448,1174,1280
1449,1176,1310
1450,1176,1285
1451,1312,1326
1452,1312,1326
1453,1312,139
1454,1313,1117
1455,1313,1326
1456,1313,1326
1457,1313,1323
1458,1313,138
1459,1313,NA
1460,1313,135
1461,998,1285
1462,1188,1323
1463,1006,1280
1464,1192,1323
1465,826,1278
1466,1196,1320
1467,1197,1308
1468,1197,1320
1469,1327,119
1470,1327,1323
1471,1327,134
1472,1327,137
1473,1328,127
1474,1328,127
1475,829,1285
1476,349,1230
1477,1199,1320
1478,1199,1308
1479,1201,1326
1480,1021,1280
1481,1021,1280
1482,109,1304
1483,365,1252
1484,365,1323
1485,365,1323
1486,111,1310
1487,1335,1252
1488,1335,1326
1489,1335,124
1490,1335,132
1491,120,1323
1492,850,1475
1493,1341,135
1494,1344,132
1495,1344,127
1496,1345,135
1497,1349,1117
1498,1349,119
1499,1349,1308
1500,1349,1260
1501,1350,135
1502,1353,1326
1503,1353,127
1504,1353,135
1505,1055,1475
1506,1365,136
1507,1235,1475
1508,1369,101
1509,1369,102
1510,1369,1117
1511,1369,1308
1512,1371,101
1513,1371,1326
1514,1374,104
1515,1374,1117
1516,1374,124
1517,1375,117
1518,1376,132
1519,1376,134
1520,1378,104
1521,1378,1117
1522,1378,139
1523,1378,127
1524,1244,1475
1525,1246,1397
1526,744,1475
1527,1391,1102
1528,1391,1260
1529,933,1475
1530,1393,139
1531,1393,140
1532,934,1475
1533,1254,1397
1534,505,1475
1535,1399,1167
1536,1399,1102
1537,1412,102
1538,1412,1308
1539,1412,1309
1540,1412,1309
1541,1412,1308
1542,955,1475
1543,1416,NA
1544,1416,133
1545,1416,138
1546,1416,127
1547,1126,1392
1548,1418,139
1549,781,1475
1550,1136,1475
1551,1424,NA
1552,963,1475
1553,1283,1475
1554,1431,127
1555,1431,138
1556,969,1475
1557,1437,1397
1558,1437,143
1559,1438,127
1560,1438,1475
1561,1438,1138
1562,1438,NA
1563,1438,118
1564,1438,1309
1565,1438,1330
1566,1439,130
1567,1439,1102
1568,1439,108
1569,1439,1117
1570,1439,1330
1571,990,1475
1572,1450,123
1573,1450,101
1574,1450,1117
1575,1457,137
1576,1457,135
1577,1313,1397
1578,998,1475
1579,1462,140
1580,1462,137
1581,1466,123
1582,1466,108
1583,1466,1117
1584,1466,1308
1585,1466,1330
1586,1469,1343
1587,1469,1323
1588,1469,126
1589,1469,127
1590,1470,136
1591,1471,127
1592,1201,1397
1593,1481,135
1594,1485,127
1595,1489,NA
1596,1489,127
1597,1490,135
1598,1490,137
1599,120,1397
1600,1027,1535
1601,1033,1535
1602,1500,1392
1603,1500,140
1604,1349,1515
1605,874,1549
1606,1056,1568
1607,1369,1540
1608,1510,1326
1609,1510,1330
1610,1510,1260
1611,1510,139
1612,1510,136
1613,1513,NA
1614,1513,NA
1615,1513,127
1616,1518,137
1617,1518,NA
1618,1243,1535
1619,1520,117
1620,1520,1326
1621,1520,125
1622,1520,NA
1623,1520,127
1624,1520,137
1625,1378,1568
1626,1243,1582
1627,1246,1569
1628,1096,1582
1629,1528,139
1630,1100,1568
1631,1257,1568
1632,946,1535
1633,1542,1392
1634,1542,102
1635,1542,1582
1636,1123,1535
1637,1123,1549
1638,1123,1568
1639,957,1568
1640,1126,1540
1641,1126,1549
1642,1126,1568
1643,1134,1568
1644,969,1535
1645,1557,1392
1646,1564,139
1647,1164,1549
1648,1174,1549
1649,1176,1568
1650,992,1549
1651,1312,1515
1652,1183,1568
1653,1584,130
1654,1584,130
1655,1584,135
1656,1585,139
1657,1585,135
1658,1196,1535
1659,829,1535
1660,1201,1570
1661,110,1514
1662,111,1515
1663,115,1549
1664,115,1568
1665,120,1540
1666,1034,1647
1667,1610,127
1668,1619,NA
1669,1619,139
1670,1619,127
1671,1627,137
1672,1097,1647
1673,1257,1647
1674,1635,1326
1675,1635,1330
1676,1635,1260
1677,1636,137
1678,1636,1117
1679,1636,1308
1680,1636,1310
1681,1636,139
1682,1176,1647
1683,1650,1308
1684,1650,1326
1685,1650,132
1686,1650,138
1687,1457,1640
1688,1662,127
1689,1662,127
1690,1665,141
1691,1675,138
1692,1675,127
1693,1680,139
1694,1680,NA
1695,1682,132
1696,1682,1397
1697,1682,139
1698,1685,140
1699,1685,NA
1700,1686,137
1701,1686,135
1702,1696,140
